@relation mana_analysis

@attribute sum_of_manacost_point_at_mainboard numeric %111
@attribute needed_white_mana_at_mainboard numeric %0
@attribute needed_blue_mana_at_mainboard numeric %0
@attribute needed_black_mana_at_mainboard numeric %47
@attribute needed_red_mana_at_mainboard numeric %0
@attribute needed_green_mana_at_mainboard numeric% 7
@attribute needed_colorless_mana_at_mainboard numeric% 0

@attribute generating_white_mana_at_mainboard numeric %3
@attribute generating_blue_mana_at_mainboard numeric %3
@attribute generating_black_mana_at_mainboard numeric %21
@attribute generating_red_mana_at_mainboard numeric %3
@attribute generating_green_mana_at_mainboard numeric %14
@attribute generating_colorless_mana_at_mainboard numeric %2

@data
101,4,0,11,0,29,0,16,12,20,11,21,19 %Monitor_CombokD03044W
100,8,4,5,0,30,0,17,17,21,12,23,22 %Monitor_CombokD09281S
101,4,0,11,0,29,0,16,11,20,11,21,18 %Monitor_CombokD09289S
100,8,4,6,0,29,0,15,16,19,11,22,21 %Monitor_CombokD09340S
100,8,4,5,0,30,0,17,17,21,12,23,22 %Monitor_CombokD09343S
100,8,4,5,0,30,0,17,17,21,12,23,22 %Monitor_CombokD09344S
100,8,4,5,0,30,0,17,17,21,12,23,22 %Monitor_CombokD09347S
96,8,4,6,0,28,0,17,17,21,12,23,22 %Monitor_CombokD09382S
101,4,0,11,0,29,0,16,11,20,11,21,18 %Monitor_CombokD09388S
100,8,4,6,0,29,0,15,16,19,11,22,21 %Monitor_CombokD09427S
100,8,4,5,0,30,0,16,17,20,12,23,22 %Monitor_CombokD09496S
73,0,0,0,33,0,3,0,4,0,17,0,12 %Mono_RedkD01431K
68,0,0,0,44,4,0,0,0,0,22,8,0 %Mono_RedkD09492S
66,54,0,0,0,0,0,18,0,0,0,0,0 %Mono_White_AggrokD01436K
65,50,0,0,0,0,0,18,0,0,0,0,0 %Mono_White_AggrokD01443K
64,52,0,0,0,0,0,18,0,0,4,0,4 %Mono_White_AggrokD01446K
66,51,0,0,0,0,0,18,0,0,0,0,1 %Mono_White_AggrokD03070W
64,52,0,0,0,0,0,18,0,0,4,0,4 %Mono_White_AggrokD09385S
64,52,0,0,0,0,0,18,0,0,4,0,4 %Mono_White_AggrokD09387S
65,53,0,0,0,0,0,18,0,0,0,0,0 %Mono_White_AggrokD09438S
65,53,0,0,0,0,0,18,0,0,0,0,0 %Mono_White_AggrokD09493S
64,52,0,0,0,0,0,18,0,0,4,0,4 %Mono_White_AggrokD09501S
64,52,0,0,0,0,0,18,0,0,4,0,4 %Mono_White_AggrokD09503S
66,52,0,0,0,0,0,18,0,0,0,0,0 %Mono_White_AggrokD09514S
68,51,0,0,0,0,0,20,0,0,6,0,4 %Mono_White_AggrokD09520S
64,52,0,0,0,0,0,18,0,0,4,0,4 %Mono_White_AggrokD09523S
67,53,0,0,0,0,0,19,0,0,0,0,0 %Mono_White_AggrokD09525S
63,51,0,0,0,0,0,18,0,0,0,0,0 %Mono_White_AggrokD09530S
64,52,0,0,0,0,0,18,0,0,4,0,4 %Mono_White_AggrokD09534S
64,52,0,0,0,0,0,18,0,0,4,0,4 %Mono_White_AggrokD09540S
71,54,0,0,0,0,0,19,0,7,0,0,4 %Mono_White_AggrokD09547S
68,48,0,0,0,0,0,18,0,0,0,0,2 %Mono_White_AggrokD09548S
112,19,2,0,10,20,0,17,6,4,12,13,1 %Multi_Color_AggrokD01427K
112,0,0,0,22,13,0,0,0,0,12,15,4 %RG_GoggleskD09341S
108,0,0,0,23,11,0,0,0,0,11,17,4 %RG_GoggleskD09505S
120,0,0,0,23,12,0,0,0,0,13,14,4 %RG_GoggleskD09524S
137,0,0,0,11,26,0,4,4,4,6,16,1 %RG_RampkD01439K
136,0,0,0,14,22,0,4,4,4,11,17,6 %RG_RampkD09258S
136,0,0,0,14,22,0,4,4,4,11,17,6 %RG_RampkD09260S
146,0,0,0,13,23,0,0,0,0,6,14,1 %RG_RampkD09290S
169,0,0,0,11,20,0,0,0,0,6,15,1 %RG_RampkD09378S
184,0,0,0,11,32,0,4,4,4,6,15,1 %RG_RampkD09435S
151,0,0,0,11,23,0,0,0,0,7,14,1 %RG_RampkD09512S
143,0,0,0,11,28,0,4,4,4,6,15,1 %RG_RampkD09546S
109,0,30,22,0,0,0,0,16,15,0,0,2 %RoguekD02999W
107,0,7,33,0,10,0,4,12,19,4,16,4 %UBG_ControlkD02993W
107,0,7,33,0,10,0,4,12,19,4,16,4 %UBG_ControlkD03002W
107,0,6,33,0,11,0,4,12,19,4,16,4 %UBG_ControlkD03046W
97,0,2,35,0,13,0,4,8,17,4,19,5 %UBG_ControlkD09429S
99,0,3,32,0,14,0,4,8,17,4,19,5 %UBG_ControlkD09432S
103,0,3,33,0,15,0,4,8,19,4,17,5 %UBG_ControlkD09439S
97,0,4,32,0,14,0,4,9,18,4,18,6 %UBG_ControlkD09440S
107,0,7,33,0,10,0,4,12,19,4,16,4 %UBG_ControlkD09497S
95,0,2,24,0,20,0,4,8,17,4,20,6 %UBG_ControlkD09542S
107,0,5,29,19,0,0,3,11,18,18,3,3 %UBR_ControlkD09286S
105,0,6,31,15,0,0,4,14,18,16,4,2 %UBR_ControlkD09350S
