@relation mana_analysis

@attribute sum_of_manacost_point_at_mainboard numeric %111
@attribute needed_white_mana_at_mainboard numeric %0
@attribute needed_blue_mana_at_mainboard numeric %0
@attribute needed_black_mana_at_mainboard numeric %47
@attribute needed_red_mana_at_mainboard numeric %0
@attribute needed_green_mana_at_mainboard numeric% 7
@attribute needed_colorless_mana_at_mainboard numeric% 0

@attribute generating_white_mana_at_mainboard numeric %3
@attribute generating_blue_mana_at_mainboard numeric %3
@attribute generating_black_mana_at_mainboard numeric %21
@attribute generating_red_mana_at_mainboard numeric %3
@attribute generating_green_mana_at_mainboard numeric %14
@attribute generating_colorless_mana_at_mainboard numeric %2

@data
90,0,10,32,0,0,0,0,14,18,0,0,2 %RoguekD03099W
100,8,5,7,0,27,0,15,16,19,11,22,21 %Monitor_CombokD03097W
85,24,5,0,0,18,0,20,10,4,4,15,1 %WUG_AggrokD03096W
112,20,0,37,0,0,0,15,0,18,0,0,8 %WB_ControlkD03095W
92,0,2,16,0,26,0,7,10,19,7,23,17 %BG_HuskkD03094W
106,20,0,35,0,0,0,15,0,18,0,0,8 %WB_ControlkD03093W
132,0,0,26,26,0,0,2,2,15,15,2,1 %BR_VampirekD03092W
141,0,11,0,0,18,11,0,15,4,2,16,14 %Eldrazi_StompykD03091W
81,25,0,0,0,23,0,14,0,0,0,17,2 %GW_AggrokD03090W
104,21,9,0,20,0,0,16,15,4,18,4,7 %WUR_AggrokD03089W
123,0,0,0,13,26,0,0,0,0,8,12,0 %RG_RampkD03088W
76,57,0,0,0,0,0,19,0,0,0,0,0 %Mono_White_AggrokD03087W
80,22,0,0,0,24,0,15,0,0,0,17,2 %GW_AggrokD03086W
111,24,0,0,8,20,0,17,4,4,11,17,1 %WRG_PlaneswalkerkD09913S
111,22,0,35,0,0,0,15,0,17,0,0,9 %WB_ControlkD09912S
161,0,27,0,7,0,4,0,17,2,20,0,16 %Eldrazi_RampkD09911S
81,25,0,0,0,23,0,15,0,0,0,16,2 %GW_AggrokD09910S
112,20,0,37,0,0,0,15,0,18,0,0,8 %WB_ControlkD09909S
105,5,19,29,0,0,0,11,18,18,3,3,0 %WUB_ControlkD09908S
96,12,10,0,0,22,0,18,19,16,12,26,18 %WUG_AggrokD09907S
87,22,0,26,0,0,0,16,0,18,0,0,5 %WB_AggrokD09906S
81,26,0,0,0,22,0,15,0,0,0,16,2 %GW_AggrokD09905S
66,52,0,0,0,0,0,20,0,0,0,0,0 %Mono_White_AggrokD09904S
123,5,0,38,15,0,0,13,4,19,17,4,4 %WBR_ControlkD09756S
111,0,2,32,25,0,0,4,9,17,18,4,4 %UBR_ControlkD09755S
87,3,0,14,0,25,0,9,7,20,7,22,16 %WBG_AggrokD09754S
85,22,5,0,0,18,0,20,10,4,4,15,1 %WUG_AggrokD09753S
106,0,0,0,25,11,0,0,0,0,12,15,4 %RG_GoggleskD09752S
114,6,0,27,19,0,0,13,2,17,14,2,4 %WBR_ControlkD09751S
115,0,10,23,21,0,0,4,16,17,14,4,0 %UBR_ControlkD09750S
108,0,18,0,8,0,8,1,15,0,12,2,18 %Eldrazi_StompykD09748S
236,0,0,19,0,31,0,4,4,17,4,20,5 %BG_ControlkD09747S
82,28,0,0,0,21,0,15,0,0,0,15,3 %GW_AggrokD09677S
100,8,4,5,0,30,0,16,17,20,12,23,22 %Monitor_CombokD09676S
64,52,0,0,0,0,0,18,0,0,4,0,4 %Mono_White_AggrokD09675S
88,25,6,0,0,17,0,20,10,4,4,15,1 %WUG_AggrokD09674S
145,0,0,0,12,24,2,0,0,0,4,14,1 %RG_RampkD09673S
64,52,0,0,0,0,0,18,0,0,4,0,4 %Mono_White_AggrokD09672S
64,52,0,0,0,0,0,18,0,0,4,0,4 %Mono_White_AggrokD09671S
101,4,0,11,0,29,0,16,11,20,11,21,18 %Monitor_CombokD09670S
100,8,4,5,0,30,0,16,17,20,12,23,22 %Monitor_CombokD09669S
97,8,8,0,0,21,3,17,18,16,11,24,20 %WUG_AggrokD09668S
80,22,0,0,0,24,0,15,0,0,0,17,2 %GW_AggrokD09739S
159,0,0,0,15,20,0,4,4,4,10,13,1 %RG_RampkD09738S
114,6,0,27,19,0,0,13,2,17,14,2,4 %WBR_ControlkD09737S
162,0,0,0,12,28,0,4,4,4,6,15,3 %RG_RampkD09736S
98,20,0,30,0,0,0,17,1,18,1,1,7 %WB_ControlkD09735S
100,8,4,6,0,29,0,15,16,19,11,22,21 %Monitor_CombokD09734S
111,0,2,32,25,0,0,4,9,17,18,4,4 %RoguekD09733S
141,0,11,0,0,18,11,0,15,4,2,16,14 %Eldrazi_RampkD09732S
117,0,0,12,25,13,0,4,4,10,17,15,0 %BRG_AggrokD09731S
141,0,11,0,0,18,11,0,15,4,2,16,14 %Eldrazi_RampkD09729S
100,8,4,6,0,29,0,15,16,19,11,22,21 %Monitor_CombokD09728S
82,26,0,0,0,21,0,17,4,4,4,18,0 %WG_HumankD09727S
106,0,6,29,16,0,0,4,13,18,16,4,1 %UBR_ControlkD09726S
158,0,0,12,22,21,0,4,4,14,14,15,1 %BRG_ControlkD09725S
139,0,13,0,0,24,0,2,14,2,2,16,5 %Eldrazi_RampkD09724S
68,48,0,0,0,0,0,18,0,0,0,0,2 %Mono_White_AggrokD09657S
80,24,0,0,0,23,0,15,0,0,0,16,2 %GW_AggrokD09667S
100,0,4,31,0,15,0,4,8,18,4,17,5 %UBG_ControlkD09666S
100,8,8,0,0,20,4,16,17,16,10,24,19 %WUG_AggrokD09665S
107,18,0,38,0,0,0,15,0,19,0,0,8 %WB_ControlkD09664S
104,21,0,0,9,21,0,14,4,4,7,16,2 %WRG_PlaneswalkerkD09663S
100,8,4,6,0,29,0,16,17,19,11,22,20 %Monitor_CombokD09662S
101,4,0,11,0,29,0,16,11,20,11,21,18 %Monitor_CombokD09661S
69,52,0,0,0,0,0,20,0,0,4,0,4 %Mono_White_AggrokD09660S
164,0,0,0,12,26,4,0,0,0,5,10,2 %RG_RampkD09659S
84,24,0,0,0,24,0,16,0,0,0,16,2 %GW_AggrokD09658S
108,20,0,35,0,0,0,15,0,19,0,0,8 %WB_ControlkD09656S
97,8,8,0,0,21,3,17,17,16,10,23,21 %WUG_AggrokD09655S
100,8,4,6,0,29,0,15,16,19,11,22,21 %Monitor_CombokD09654S
88,29,0,0,0,21,0,15,0,0,0,15,3 %GW_AggrokD09653S
81,25,0,0,0,22,0,15,0,0,0,17,2 %GW_AggrokD09652S
105,0,6,28,18,0,0,3,12,18,18,3,3 %UBR_ControlkD09651S
101,8,4,5,1,29,0,17,17,20,13,23,22 %Monitor_CombokD09650S
101,4,0,11,0,29,0,16,11,20,11,21,18 %Monitor_CombokD09649S
101,3,0,0,30,0,8,10,0,0,24,0,15 %WR_ControlkD09648S
64,52,0,0,0,0,0,18,0,0,4,0,4 %Mono_White_AggrokD09647S
