Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,
"Risen Executioner",1,56420,Mythic Rare,DTK,116/264,No
"Living Lore",1,56104,Rare,DTK,61/264,No
"Ojutai's Summons",1,56168,Common,DTK,68/264,No
"Dragon-Scarred Bear",1,56308,Common,DTK,183/264,No
"Qarsi Sadist",1,56400,Common,DTK,113/264,No
"Deadly Wanderings",1,56318,Uncommon,DTK,94/264,No
"Corpseweft",1,56368,Rare,DTK,92/264,No
"Kolaghan Skirmisher",1,56152,Common,DTK,107/264,No
"Minister of Pain",1,56338,Uncommon,DTK,111/264,No
"Blood-Chin Rager",1,56354,Uncommon,DTK,89/264,No
"Silumgar Spell-Eater",1,56358,Uncommon,DTK,77/264,No
"Monastery Loremaster",1,56124,Common,DTK,63/264,No
"Sarkhan's Rage",1,56266,Common,DTK,153/264,No
"Hand of Silumgar",1,56194,Common,DTK,105/264,No
"Sibsig Icebreakers",1,56072,Common,DTK,119/264,No
"Icefall Regent",1,56064,Rare,DTK,58/264,No
"Encase in Ice",1,55948,Uncommon,DTK,54/264,No
"Elusive Spellfist",1,56160,Common,DTK,53/264,No
"Dance of the Skywise",1,56378,Uncommon,DTK,50/264,No
"Ojutai's Breath",1,56162,Common,DTK,67/264,No
"Void Squall",1,56332,Uncommon,DTK,83/264,No
"Sight Beyond Sight",1,56326,Uncommon,DTK,75/264,No
"Updraft Elemental",1,56174,Common,DTK,82/264,No
"Ambuscade Shaman",1,56222,Uncommon,DTK,87/264,No
"Youthful Scholar",1,56236,Uncommon,DTK,84/264,No
"Skywise Teachings",1,56170,Uncommon,DTK,79/264,No
"Dirgur Nemesis",1,56150,Common,DTK,51/264,No
"Learn from the Past",1,56272,Uncommon,DTK,60/264,No
"Taigam's Strike",1,56180,Common,DTK,81/264,No
"Gurmag Drowner",1,56002,Common,DTK,57/264,No
"Profaner of the Dead",1,56280,Rare,DTK,70/264,No
"Qarsi Deceiver",1,55946,Uncommon,DTK,71/264,No
"Illusory Gains",1,56350,Rare,DTK,59/264,No
"Glint",1,56232,Common,DTK,55/264,No
"Reduce in Stature",1,56418,Common,DTK,72/264,No
"Ojutai Interceptor",1,56014,Common,DTK,66/264,No
"Foul Renewal",1,55956,Rare,DTK,101/264,No
"Dragonlord's Prerogative",1,56398,Rare,DTK,52/264,No
"Arashin Foremost",1,56096,Rare,DTK,3/264,No
"Battle Mastery",1,56268,Uncommon,DTK,7/264,No
"Aven Sunstriker",1,56008,Uncommon,DTK,5/264,No
"Scion of Ugin",1,56342,Uncommon,DTK,1/264,No
"Aven Tactician",1,56060,Common,DTK,6/264,No
"Anafenza, Kin-Tree Spirit",1,55978,Rare,DTK,2/264,No
"Contradict",1,56248,Common,DTK,49/264,No
"Blessed Reincarnation",1,56090,Rare,DTK,47/264,No
"Belltoll Dragon",1,55982,Uncommon,DTK,46/264,No
"Anticipate",1,56388,Common,DTK,45/264,No
"Strongarm Monk",1,56348,Uncommon,DTK,39/264,No
"Resupply",1,56116,Common,DTK,32/264,No
"Pacifism",1,56324,Common,DTK,29/264,No
"Great Teacher's Decree",1,55954,Uncommon,DTK,21/264,No
"Gleam of Authority",1,56362,Rare,DTK,19/264,No
"Fate Forgotten",1,56042,Common,DTK,17/264,No
"Dromoka Captain",1,56298,Uncommon,DTK,12/264,No
"Sandcrafter Mage",1,56086,Common,DTK,33/264,No
"Sandstorm Charger",1,56154,Common,DTK,34/264,No
"Student of Ojutai",1,55922,Common,DTK,40/264,No
"Sunscorch Regent",1,56196,Rare,DTK,41/264,No
"Misthoof Kirin",1,56390,Common,DTK,25/264,No
"Ojutai Exemplars",1,56110,Mythic Rare,DTK,27/264,No
"Scale Blessing",1,56200,Uncommon,DTK,35/264,No
"Shieldhide Dragon",1,55910,Uncommon,DTK,37/264,No
"Territorial Roc",1,56144,Common,DTK,43/264,No
"Ancient Carp",1,56304,Common,DTK,44/264,No
"Swift Warkite",1,56372,Uncommon,DTK,233/264,No
"Ancestral Statue",1,56316,Common,DTK,234/264,No
"Atarka Monument",1,55986,Uncommon,DTK,235/264,No
"Custodian of the Trove",1,56238,Common,DTK,236/264,No
"Dragonloft Idol",1,56080,Uncommon,DTK,237/264,No
"Dromoka Monument",1,56028,Uncommon,DTK,238/264,No
"Gate Smasher",1,56380,Uncommon,DTK,239/264,No
"Kolaghan Monument",1,55938,Uncommon,DTK,241/264,No
"Ojutai Monument",1,55936,Uncommon,DTK,242/264,No
"Silumgar Monument",1,55952,Uncommon,DTK,243/264,No
"Tapestry of the Ages",1,55970,Uncommon,DTK,246/264,No
