Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,
"Alesha, Who Smiles at Death",1,55456,Rare,FRF,90/185,No
"Sandsteppe Mastodon",1,55322,Rare,FRF,137/185,No
"Battlefront Krushok",1,55566,Uncommon,FRF,125/185,No
"Sultai Skullkeeper",1,55640,Common,FRF,53/185,No
"Dragonrage",1,55348,Uncommon,FRF,97/185,No
"Pyrotechnics",1,55466,Uncommon,FRF,111/185,No
"Defiant Ogre",1,55438,Common,FRF,96/185,No
"Shaman of the Great Hunt",1,55576,Mythic Rare,FRF,113/185,No
"Mardu Runemark",1,55424,Common,FRF,107/185,No
"Shockmaw Dragon",1,55630,Uncommon,FRF,114/185,No
"Archers of Qarsi",1,55504,Common,FRF,124/185,No
"Temur War Shaman",1,55676,Rare,FRF,142/185,No
"Typhoid Rats",1,55598,Common,FRF,89/185,No
"Vaultbreaker",1,55404,Uncommon,FRF,117/185,No
"Smoldering Efreet",1,55590,Common,FRF,115/185,No
"Harsh Sustenance",1,55336,Common,FRF,154/185,No
"Grim Contest",1,55644,Common,FRF,153/185,No
"Atarka, World Render",1,55362,Rare,FRF,149/185,No
"Ethereal Ambush",1,55492,Common,FRF,152/185,No
"Feral Krushok",1,55512,Common,FRF,128/185,No
"Ruthless Instincts",1,55578,Uncommon,FRF,136/185,No
"Frontier Siege",1,55416,Rare,FRF,131/185,No
"Temur Runemark",1,55436,Common,FRF,140/185,No
"Whisperer of the Wilds",1,55376,Common,FRF,144/185,No
"Cached Defenses",1,55588,Uncommon,FRF,126/185,No
"Abzan Kin-Guard",1,55534,Uncommon,FRF,120/185,No
"Dromoka, the Eternal",1,55318,Rare,FRF,151/185,No
"Wildcall",1,55408,Rare,FRF,146/185,No
"Yasova Dragonclaw",1,55430,Rare,FRF,148/185,No
"Silumgar, the Drifting Death",1,55346,Rare,FRF,157/185,No
"Sudden Reclamation",1,55606,Uncommon,FRF,139/185,No
"Return to the Earth",1,55350,Common,FRF,135/185,No
"Ojutai, Soul of Winter",1,55360,Rare,FRF,156/185,No
"Cunning Strike",1,55468,Common,FRF,150/185,No
"Hunt the Weak",1,55464,Common,FRF,133/185,No
"Shamanic Revelation",1,55412,Rare,FRF,138/185,No
"Fierce Invocation",1,55498,Common,FRF,98/185,No
"War Flare",1,55556,Common,FRF,158/185,No
"Goblin Boom Keg",1,55680,Uncommon,FRF,159/185,No
"Hero's Blade",1,55482,Uncommon,FRF,160/185,No
"Hewed Stone Retainers",1,55572,Uncommon,FRF,161/185,No
"Pilgrim of the Fires",1,55384,Uncommon,FRF,162/185,No
"Scroll of the Masters",1,55624,Rare,FRF,163/185,No
"Ugin's Construct",1,55596,Uncommon,FRF,164/185,No
"Bloodfell Caves",1,55552,Common,FRF,165/185,No
"Blossoming Sands",1,55554,Common,FRF,166/185,No
"Crucible of the Spirit Dragon",1,55382,Rare,FRF,167/185,No
"Dismal Backwater",1,55520,Common,FRF,168/185,No
"Jungle Hollow",1,55528,Common,FRF,169/185,No
"Rugged Highlands",1,55530,Common,FRF,170/185,No
"Scoured Barrens",1,55526,Common,FRF,171/185,No
"Swiftwater Cliffs",1,55532,Common,FRF,172/185,No
"Thornwood Falls",1,55544,Common,FRF,173/185,No
"Tranquil Cove",1,55550,Common,FRF,174/185,No
"Wind-Scarred Crag",1,55536,Common,FRF,175/185,No
"Plains",1,55658,Basic Land,FRF,176/185,No
"Plains",1,55656,Basic Land,FRF,177/185,No
"Island",1,55660,Basic Land,FRF,178/185,No
"Island",1,55662,Basic Land,FRF,179/185,No
"Swamp",1,55666,Basic Land,FRF,180/185,No
"Swamp",1,55664,Basic Land,FRF,181/185,No
"Mountain",1,55668,Basic Land,FRF,182/185,No
"Mountain",1,55670,Basic Land,FRF,183/185,No
"Forest",1,55674,Basic Land,FRF,184/185,No
"Forest",1,55672,Basic Land,FRF,185/185,No
